Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTNSL,250
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTVKL,-146
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,NPSHYD,727
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,NUCLEAR,3460
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,OCGT,0
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,OIL,0
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,OTHER,373
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,PS,210
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,WIND,10494
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,BIOMASS,2969
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,CCGT,23243
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,COAL,1358
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTELEC,-27
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTEW,14
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTFR,-999
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTIFA2,-4
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTIRL,-240
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTNED,1004
FUELINST,2024-01-08T15:25:00Z,2024-01-08T15:20:00Z,2024-01-08,31,INTNEM,-324
